feature_index,importance,model_name,config_name,stage,fold,pixel_row,pixel_col
1379,0.006833333333333334,LightGBM,paper_params,search,10,19,68
1237,0.00625,LightGBM,paper_params,search,10,17,64
2204,0.005666666666666667,LightGBM,paper_params,search,10,31,65
2135,0.00525,LightGBM,paper_params,search,10,30,65
1079,0.00475,LightGBM,paper_params,search,10,15,44
1447,0.004666666666666667,LightGBM,paper_params,search,10,20,67
4344,0.0045,LightGBM,paper_params,search,10,62,66
1165,0.004416666666666667,LightGBM,paper_params,search,10,16,61
2616,0.00425,LightGBM,paper_params,search,10,37,63
750,0.00425,LightGBM,paper_params,search,10,10,60
749,0.004166666666666667,LightGBM,paper_params,search,10,10,59
1169,0.004083333333333333,LightGBM,paper_params,search,10,16,65
1303,0.004083333333333333,LightGBM,paper_params,search,10,18,61
2754,0.004,LightGBM,paper_params,search,10,39,63
1092,0.003916666666666666,LightGBM,paper_params,search,10,15,57
3308,0.003916666666666666,LightGBM,paper_params,search,10,47,65
4406,0.003833333333333333,LightGBM,paper_params,search,10,63,59
2615,0.00375,LightGBM,paper_params,search,10,37,62
2563,0.00375,LightGBM,paper_params,search,10,37,10
1031,0.00375,LightGBM,paper_params,search,10,14,65
1032,0.00375,LightGBM,paper_params,search,10,14,66
4343,0.0036666666666666666,LightGBM,paper_params,search,10,62,65
2201,0.0036666666666666666,LightGBM,paper_params,search,10,31,62
2815,0.0036666666666666666,LightGBM,paper_params,search,10,40,55
3790,0.0036666666666666666,LightGBM,paper_params,search,10,54,64
2273,0.0036666666666666666,LightGBM,paper_params,search,10,32,65
3720,0.0035833333333333333,LightGBM,paper_params,search,10,53,63
3239,0.0035833333333333333,LightGBM,paper_params,search,10,46,65
1922,0.0035,LightGBM,paper_params,search,10,27,59
1096,0.003416666666666667,LightGBM,paper_params,search,10,15,61
2755,0.003416666666666667,LightGBM,paper_params,search,10,39,64
2745,0.003416666666666667,LightGBM,paper_params,search,10,39,54
3165,0.0033333333333333335,LightGBM,paper_params,search,10,45,60
3027,0.0033333333333333335,LightGBM,paper_params,search,10,43,60
2344,0.0033333333333333335,LightGBM,paper_params,search,10,33,67
3718,0.0033333333333333335,LightGBM,paper_params,search,10,53,61
3254,0.0033333333333333335,LightGBM,paper_params,search,10,47,11
819,0.00325,LightGBM,paper_params,search,10,11,60
3255,0.00325,LightGBM,paper_params,search,10,47,12
3036,0.00325,LightGBM,paper_params,search,10,44,0
1097,0.00325,LightGBM,paper_params,search,10,15,62
2683,0.00325,LightGBM,paper_params,search,10,38,61
3649,0.00325,LightGBM,paper_params,search,10,52,61
1236,0.0031666666666666666,LightGBM,paper_params,search,10,17,63
3240,0.0031666666666666666,LightGBM,paper_params,search,10,46,66
1305,0.0030833333333333333,LightGBM,paper_params,search,10,18,63
2685,0.0030833333333333333,LightGBM,paper_params,search,10,38,63
3858,0.0030833333333333333,LightGBM,paper_params,search,10,55,63
818,0.0030833333333333333,LightGBM,paper_params,search,10,11,59
2196,0.003,LightGBM,paper_params,search,10,31,57
1452,0.003,LightGBM,paper_params,search,10,21,3
2752,0.003,LightGBM,paper_params,search,10,39,61
3438,0.003,LightGBM,paper_params,search,10,49,57
1098,0.003,LightGBM,paper_params,search,10,15,63
2555,0.003,LightGBM,paper_params,search,10,37,2
3096,0.003,LightGBM,paper_params,search,10,44,60
4405,0.003,LightGBM,paper_params,search,10,63,58
2334,0.002916666666666667,LightGBM,paper_params,search,10,33,57
2614,0.002916666666666667,LightGBM,paper_params,search,10,37,61
3301,0.0028333333333333335,LightGBM,paper_params,search,10,47,58
4015,0.0028333333333333335,LightGBM,paper_params,search,10,58,13
4275,0.0028333333333333335,LightGBM,paper_params,search,10,61,66
3919,0.0028333333333333335,LightGBM,paper_params,search,10,56,55
2951,0.0028333333333333335,LightGBM,paper_params,search,10,42,53
1086,0.0028333333333333335,LightGBM,paper_params,search,10,15,51
2202,0.00275,LightGBM,paper_params,search,10,31,63
3989,0.00275,LightGBM,paper_params,search,10,57,56
2266,0.00275,LightGBM,paper_params,search,10,32,58
4542,0.00275,LightGBM,paper_params,search,10,65,57
3300,0.00275,LightGBM,paper_params,search,10,47,57
3370,0.00275,LightGBM,paper_params,search,10,48,58
1847,0.00275,LightGBM,paper_params,search,10,26,53
841,0.00275,LightGBM,paper_params,search,10,12,13
962,0.0026666666666666666,LightGBM,paper_params,search,10,13,65
3651,0.0026666666666666666,LightGBM,paper_params,search,10,52,63
3171,0.0026666666666666666,LightGBM,paper_params,search,10,45,66
743,0.0026666666666666666,LightGBM,paper_params,search,10,10,53
3859,0.0026666666666666666,LightGBM,paper_params,search,10,55,64
1451,0.0026666666666666666,LightGBM,paper_params,search,10,21,2
4702,0.0025833333333333333,LightGBM,paper_params,search,10,68,10
745,0.0025833333333333333,LightGBM,paper_params,search,10,10,55
4057,0.0025833333333333333,LightGBM,paper_params,search,10,58,55
4467,0.0025833333333333333,LightGBM,paper_params,search,10,64,51
3719,0.0025833333333333333,LightGBM,paper_params,search,10,53,62
3459,0.0025833333333333333,LightGBM,paper_params,search,10,50,9
3787,0.0025833333333333333,LightGBM,paper_params,search,10,54,61
286,0.0025833333333333333,LightGBM,paper_params,search,10,4,10
772,0.0025833333333333333,LightGBM,paper_params,search,10,11,13
4223,0.0025833333333333333,LightGBM,paper_params,search,10,61,14
3048,0.0025833333333333333,LightGBM,paper_params,search,10,44,12
1162,0.0025833333333333333,LightGBM,paper_params,search,10,16,58
1641,0.0025,LightGBM,paper_params,search,10,23,54
2953,0.0025,LightGBM,paper_params,search,10,42,55
3650,0.0025,LightGBM,paper_params,search,10,52,62
607,0.0025,LightGBM,paper_params,search,10,8,55
2885,0.0025,LightGBM,paper_params,search,10,41,56
2686,0.0025,LightGBM,paper_params,search,10,38,64
2200,0.0025,LightGBM,paper_params,search,10,31,61
1093,0.0025,LightGBM,paper_params,search,10,15,58
1458,0.0025,LightGBM,paper_params,search,10,21,9
840,0.0025,LightGBM,paper_params,search,10,12,12
