feature_index,importance,model_name,config_name,stage,fold,pixel_row,pixel_col
2863,0.2603466808028157,XGBoost,paper_params,search,10,41,34
36,0.11504233625118788,XGBoost,paper_params,search,10,0,36
3967,0.03087478502674353,XGBoost,paper_params,search,10,57,34
239,0.014512280929279217,XGBoost,paper_params,search,10,3,32
235,0.010758028362499053,XGBoost,paper_params,search,10,3,28
149,0.00995297357146478,XGBoost,paper_params,search,10,2,11
1447,0.007532934190346574,XGBoost,paper_params,search,10,20,67
1079,0.006370342800377709,XGBoost,paper_params,search,10,15,44
3239,0.004976230206363159,XGBoost,paper_params,search,10,46,65
383,0.004378776996036487,XGBoost,paper_params,search,10,5,38
3095,0.004279427694757392,XGBoost,paper_params,search,10,44,59
2508,0.004230766090248084,XGBoost,paper_params,search,10,36,24
1404,0.0041291555377584895,XGBoost,paper_params,search,10,20,24
2183,0.0040030581864830385,XGBoost,paper_params,search,10,31,44
811,0.003785728242994517,XGBoost,paper_params,search,10,11,52
1032,0.0037575261656289712,XGBoost,paper_params,search,10,14,66
919,0.0032172987693746026,XGBoost,paper_params,search,10,13,22
8,0.003141036721882773,XGBoost,paper_params,search,10,0,8
3431,0.0030062354626581764,XGBoost,paper_params,search,10,49,50
1785,0.0029895184552794023,XGBoost,paper_params,search,10,25,60
1031,0.0027944652821078257,XGBoost,paper_params,search,10,14,65
2135,0.0023847068652928637,XGBoost,paper_params,search,10,30,65
178,0.002220092806310399,XGBoost,paper_params,search,10,2,40
37,0.001967855961413009,XGBoost,paper_params,search,10,0,37
523,0.0018556631397571447,XGBoost,paper_params,search,10,7,40
4231,0.0018514820834749635,XGBoost,paper_params,search,10,61,22
4391,0.0018485793838413866,XGBoost,paper_params,search,10,63,44
3851,0.001831932225655688,XGBoost,paper_params,search,10,55,56
3979,0.0018221184140285714,XGBoost,paper_params,search,10,57,46
2861,0.0018126042554397492,XGBoost,paper_params,search,10,41,32
4031,0.0017651214724789127,XGBoost,paper_params,search,10,58,29
835,0.0017625417089479887,XGBoost,paper_params,search,10,12,7
2273,0.0017465266859596237,XGBoost,paper_params,search,10,32,65
119,0.0017272547115134672,XGBoost,paper_params,search,10,1,50
2934,0.001709848409014359,XGBoost,paper_params,search,10,42,36
2579,0.0015572209372249483,XGBoost,paper_params,search,10,37,26
917,0.0015487294872380739,XGBoost,paper_params,search,10,13,20
4038,0.0014792601573575211,XGBoost,paper_params,search,10,58,36
2988,0.0014696920984747087,XGBoost,paper_params,search,10,43,21
2731,0.001467639230690218,XGBoost,paper_params,search,10,39,40
2098,0.0014542116546440156,XGBoost,paper_params,search,10,30,28
1300,0.0014408613783714833,XGBoost,paper_params,search,10,18,58
2404,0.0014032225586061077,XGBoost,paper_params,search,10,34,58
3056,0.0013945637033864957,XGBoost,paper_params,search,10,44,20
2793,0.001384192611613958,XGBoost,paper_params,search,10,40,33
3517,0.0013770567016340369,XGBoost,paper_params,search,10,50,67
4344,0.0013197506774050188,XGBoost,paper_params,search,10,62,66
4716,0.0013145749686134414,XGBoost,paper_params,search,10,68,24
1368,0.0012898846758450917,XGBoost,paper_params,search,10,19,57
3492,0.001289441599130349,XGBoost,paper_params,search,10,50,42
4412,0.001282930955843776,XGBoost,paper_params,search,10,63,65
1467,0.001259884331003816,XGBoost,paper_params,search,10,21,18
376,0.0012560642786345136,XGBoost,paper_params,search,10,5,31
4521,0.001254381727988645,XGBoost,paper_params,search,10,65,36
232,0.0012375240909011452,XGBoost,paper_params,search,10,3,25
1169,0.0012199146436655088,XGBoost,paper_params,search,10,16,65
4103,0.001218178425556294,XGBoost,paper_params,search,10,59,32
1542,0.001213169772751489,XGBoost,paper_params,search,10,22,24
667,0.0011870163722188499,XGBoost,paper_params,search,10,9,46
1406,0.0011347391406453069,XGBoost,paper_params,search,10,20,26
1695,0.0011126651658189242,XGBoost,paper_params,search,10,24,39
3058,0.001108756288559094,XGBoost,paper_params,search,10,44,22
850,0.001104629481816868,XGBoost,paper_params,search,10,12,22
1885,0.0010990161678306723,XGBoost,paper_params,search,10,27,22
1379,0.0010943170633665137,XGBoost,paper_params,search,10,19,68
2388,0.001088876044056571,XGBoost,paper_params,search,10,34,42
2136,0.0010874979194771901,XGBoost,paper_params,search,10,30,66
3811,0.0010862223567963086,XGBoost,paper_params,search,10,55,16
4543,0.0010769899232862244,XGBoost,paper_params,search,10,65,58
1618,0.0010625275314446075,XGBoost,paper_params,search,10,23,31
2656,0.0010552018644901643,XGBoost,paper_params,search,10,38,34
4237,0.0010547359703723504,XGBoost,paper_params,search,10,61,28
1230,0.001053534913497416,XGBoost,paper_params,search,10,17,57
539,0.0010528414274254974,XGBoost,paper_params,search,10,7,56
307,0.001042209216086179,XGBoost,paper_params,search,10,4,31
3027,0.00103917974016717,XGBoost,paper_params,search,10,43,60
2153,0.0010387912622383483,XGBoost,paper_params,search,10,31,14
3066,0.0010270874478619288,XGBoost,paper_params,search,10,44,30
2678,0.0010091069849957393,XGBoost,paper_params,search,10,38,56
4498,0.0010070792629207558,XGBoost,paper_params,search,10,65,13
3508,0.0010065045204770658,XGBoost,paper_params,search,10,50,58
2808,0.001004813122266741,XGBoost,paper_params,search,10,40,48
1762,0.0009834184308430182,XGBoost,paper_params,search,10,25,37
2616,0.000974971218678425,XGBoost,paper_params,search,10,37,63
2928,0.0009474583782255527,XGBoost,paper_params,search,10,42,30
3476,0.0009404546578435271,XGBoost,paper_params,search,10,50,26
600,0.0009361355911973605,XGBoost,paper_params,search,10,8,48
3308,0.0009315266503999305,XGBoost,paper_params,search,10,47,65
4048,0.0009239990610698381,XGBoost,paper_params,search,10,58,46
3240,0.0009053667888169319,XGBoost,paper_params,search,10,46,66
1087,0.0009038631103129978,XGBoost,paper_params,search,10,15,52
2252,0.0008987952021094004,XGBoost,paper_params,search,10,32,44
2725,0.0008959080439212829,XGBoost,paper_params,search,10,39,34
1643,0.0008722617637587693,XGBoost,paper_params,search,10,23,56
1092,0.0008695164576402561,XGBoost,paper_params,search,10,15,57
3361,0.0008644019251002807,XGBoost,paper_params,search,10,48,49
1008,0.0008638395226807006,XGBoost,paper_params,search,10,14,42
3071,0.0008633515096517461,XGBoost,paper_params,search,10,44,35
3448,0.0008533872312212126,XGBoost,paper_params,search,10,49,67
41,0.0008464918352961149,XGBoost,paper_params,search,10,0,41
1961,0.0008436276109263906,XGBoost,paper_params,search,10,28,29
2615,0.0008419096700226972,XGBoost,paper_params,search,10,37,62
1237,0.0008388076673582115,XGBoost,paper_params,search,10,17,64
612,0.0008373656307671664,XGBoost,paper_params,search,10,8,60
1549,0.0008348473345261489,XGBoost,paper_params,search,10,22,31
1771,0.0008333997682073188,XGBoost,paper_params,search,10,25,46
2083,0.000829275639017494,XGBoost,paper_params,search,10,30,13
1063,0.0008245599453699801,XGBoost,paper_params,search,10,15,28
3165,0.0008227477662632955,XGBoost,paper_params,search,10,45,60
1778,0.0008211638776026462,XGBoost,paper_params,search,10,25,53
964,0.0008161622097171489,XGBoost,paper_params,search,10,13,67
3858,0.0008149683705921657,XGBoost,paper_params,search,10,55,63
2260,0.0008146096367780618,XGBoost,paper_params,search,10,32,52
3171,0.0008133556109317119,XGBoost,paper_params,search,10,45,66
4132,0.000802472175327965,XGBoost,paper_params,search,10,59,61
2204,0.0008021433020439008,XGBoost,paper_params,search,10,31,65
3859,0.000801519024880788,XGBoost,paper_params,search,10,55,64
3438,0.0007985747649773313,XGBoost,paper_params,search,10,49,57
3096,0.0007939786880729593,XGBoost,paper_params,search,10,44,60
1231,0.0007930059216440603,XGBoost,paper_params,search,10,17,58
1225,0.000787270022324017,XGBoost,paper_params,search,10,17,52
1922,0.0007858923051982623,XGBoost,paper_params,search,10,27,59
2335,0.0007825730133356508,XGBoost,paper_params,search,10,33,58
1702,0.0007824980418684164,XGBoost,paper_params,search,10,24,46
719,0.0007792979010876594,XGBoost,paper_params,search,10,10,29
926,0.000778456742180047,XGBoost,paper_params,search,10,13,29
4343,0.0007773052200245354,XGBoost,paper_params,search,10,62,65
750,0.0007754064279184372,XGBoost,paper_params,search,10,10,60
3612,0.0007724884196700447,XGBoost,paper_params,search,10,52,24
2747,0.000765770382487698,XGBoost,paper_params,search,10,39,56
1854,0.0007622207047032588,XGBoost,paper_params,search,10,26,60
727,0.000761692411972964,XGBoost,paper_params,search,10,10,37
1234,0.0007605224379889483,XGBoost,paper_params,search,10,17,61
1996,0.0007603309929922604,XGBoost,paper_params,search,10,28,64
1100,0.0007602160910696511,XGBoost,paper_params,search,10,15,65
1167,0.0007592826148118571,XGBoost,paper_params,search,10,16,63
880,0.0007521663790213189,XGBoost,paper_params,search,10,12,52
2730,0.0007473436996930776,XGBoost,paper_params,search,10,39,39
520,0.0007471815913574813,XGBoost,paper_params,search,10,7,37
788,0.0007468543478879224,XGBoost,paper_params,search,10,11,29
2943,0.0007453165596947029,XGBoost,paper_params,search,10,42,45
4527,0.0007442358180548413,XGBoost,paper_params,search,10,65,42
4050,0.0007431935516788321,XGBoost,paper_params,search,10,58,48
